cl	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
18	913.0540540540541	-0.02140207305945946	-0.0542487808	-0.021391008621621615	-0.8342940969729729	9.49541697027027	6.057794008108108	-0.2764864328108108	0.03969221931891892	0.17925692591891892			18	
21	1008.03125	-0.030773690765625004	-0.074066722875	0.18016651334375	-8.120262723749999	6.650225596875	-11.441088903125001	-0.0193497326203125	-0.33899345781250007	-0.015491998287500001			21	
0	869.25	0.0138791668	-0.09095700099999997	0.0999980538125	-7.771856043750001	10.96317998125	-13.47346205625	-0.33406340125	-0.7363721506249999	0.35262203374999995			0	
22	1073.6780821917807	-0.058062027583082175	0.017075737621369862	-0.059476988417534245	0.5945610997465756	-1.8194940478767117	5.919482287054797	0.36039264778767116	-0.3069167883904109	0.39321900965753404			22	
19	1176.967741935484	-0.058543637258064524	-0.022977003103225813	0.028189706777419356	-2.031053287096774	0.056682008064516246	-2.3742370759032267	0.07497494961290323	0.4285405087096774	0.2744580322580645			19	
17	1144.9583333333333	-0.057719579320833325	0.022792245066666664	0.018575028079166667	-4.355929914333333	0.1900256959208334	2.3616767045833336	0.3578228958333333	0.06029315720833333	0.2242638033333333			17	
16	1063.6060606060605	0.03110998218181818	-0.07645295867575753	0.03338969098484847	-3.2442115360606056	8.52183968090909	1.562918113636363	-0.17304586384848486	0.2388438142424242	-0.1251042359090909			16	
14	1203.125	0.014327069537500004	0.048794355864249996	-0.022285266425	0.3321129762500002	-3.289738979375	2.338423685	0.33981883800000007	0.34235660049999994	0.4506005772500001			14	
13	1053.25	-0.061831293	0.02258319256875	-0.041539011246875	-0.8274649959375	1.1143688	5.353010471874999	0.5280941009375001	0.44693754468750013	-0.02754439854687499			13	
12	1248.55	-0.09390565749999999	0.05534881769999998	0.06184649655	-6.766276234999999	-10.730453635	-2.5343540380000005	0.5826786805000002	0.7943984014999999	0.09550035965			12	
15	1138.9285714285713	0.18019914214285712	0.04264344592857144	-0.0034520783007142846	5.828472507142857	-10.094848557142859	-6.679400728571428	-0.04471749828571429	0.4991694078571428	-0.1436431625			15	
20	1014.5	0.027665522799999998	0.09223936440999998	0.040408489199999995	1.7929307249999997	-4.9480322235	-9.39177902	0.05777336725	0.046200743525000004	0.09583819415000003			20	
3	1016.0	-0.11641555999999999	0.022137940000000002	-0.17431157216666668	-2.1869911166666665	-9.075699827777777	10.91791283333333	0.47598067277777784	-0.7747885222222224	-0.6634078333333332			3	
10	1053.1756756756756	-0.05689498445310812	-0.07304027675000002	0.05397273741891893	-2.466529874324324	6.310711599189189	-1.7914967543243256	-0.17975030241743242	-0.03361025987567568	0.7002673936486488			10	
11	1274.1333333333334	-0.0011392622000000003	0.19403327133333334	0.0175355309978	-4.901357826666667	-15.019114376666666	-0.6194193666666669	0.6903840273333334	0.36004328533333324	0.4882075013333333			11	
1	995.4090909090909	-0.0051001493545454555	0.028180971427272727	0.056859041409090906	-7.422571654545456	-1.599713885	-3.4606633954545445	0.1593731871772727	0.03091806920454546	-0.7670593431818182			1	
6	1007.1923076923077	-0.045840638469230775	0.002105295380769231	-0.09206248923653841	2.973104888846154	-1.8657741919230764	7.26406631676923	0.29472622923076924	-0.5581292603846155	-0.3940703836538462			6	
9	968.4545454545455	0.04666971588636362	-0.048884967863636365	0.07450656100000001	-3.0663028968181822	13.253516515454548	-3.6967934590909093	-0.5589733240909092	0.3761523595454545	0.6408727440909092			9	
8	922.8260869565217	0.24521446760869567	-0.023264637739130435	-0.028479091782608695	11.836510543478262	-6.915366173913044	-1.5231196997826086	-0.5930366639130435	0.10609646680434782	-0.40372498760869563			8	
2	1166.6666666666667	0.03977291248888889	0.037134754722222225	0.02865054205555556	-4.071533638888889	1.0012884555555557	-2.9344690700000005	-0.49097487944444446	0.4848402172222222	0.28272180277777775			2	
7	1036.8474576271187	0.2324557741203389	-0.015016729169491524	-0.023068893627118645	10.412603516949147	-6.646733322711864	-1.5242242973644067	-0.5930849147457625	0.29180819355932197	-0.4045663183050847			7	
4	1293.04	-0.016484887519999995	-0.17077475799999997	-0.16541130999999998	10.800024911999996	11.776417080000002	2.240922224	0.5598541888000002	-0.7099207764	-0.1610301228			4	
5	1383.423076923077	0.16095647865384616	-0.03821767376923077	-0.006522423257692308	12.935640080769229	-6.745153903846153	-2.5240810615384626	-0.48875400307692307	-0.35989087423076926	-0.4107254446153847			5	
-1	1030.5518053375197	-0.007283194177802206	0.006905322325651495	0.005612408623897176	-0.7050647167143642	0.17543750243720552	-0.028146872401177664	0.049795323863445866	-0.009240322902433196	0.018131599254945164			-1	
