cl	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
14	1051.3333333333333	0.013544821467777779	0.07284495818055554	-0.02760898869861111	0.28504765680555555	-6.0579986893055535	-0.18404292170833345	0.24396909546944448	0.05168672563888897	-0.07911921906944444	14			
13	1008.3225806451613	0.006310731160967743	0.08989378787096776	0.07769673222580645	-16.497517000000006	-1.3808016690322582	-2.8118143661290316	-0.2892575077419355	0.0648551922387097	0.07404934841935484	13			
12	913.1785714285714	0.06150041260714285	0.1363202625	0.061324984749999985	2.321821732142857	-7.920863506428572	-13.779993414285714	0.02292891874285715	-0.1570142228392857	0.1360391355	12			
2	1071.6666666666667	-0.0007335785066666667	0.03192421906666667	0.1884623286666667	-9.71480308	0.4675845726666667	-8.99535778	-0.05617159333333335	-0.262421064	0.6544319946666666	2			
1	795.9090909090909	0.09695253027272727	0.21191926318181817	-0.10999059227272728	-0.01750520790909091	-17.476801272727272	2.391860302272727	0.4063459077272728	-0.04655741931818181	-0.2055760709090909	1			
24	1254.7692307692307	-0.07736596330769231	-0.08738590407692308	-0.03941680507692307	3.0449856676923073	5.911119900769231	1.3882906769230772	0.22779893538461546	0.11417487692307696	-0.08916960153846153	24			
28	1093.909090909091	-0.034406247545454544	-0.03621494731818182	0.003964696167272727	3.4251103636363633	9.482798690909089	-4.061057968181818	0.24609451590909093	-0.4364246463636363	0.12238630590909089	28			
27	990.0588235294117	-0.09260182564705881	0.08236860611764708	0.08419310329411762	-8.72067428235294	-12.08518116470588	-1.837959504117647	0.5060340244117647	0.7018248723529411	-0.01986291458823529	27			
22	908.0	0.008125430276	-0.09555157648000001	-0.03785290472	2.0061926624	11.189559184000002	6.77418266	-0.09447950320000001	-0.13345880079999997	0.0946394854	22			
19	1091.090909090909	-0.15107117027272726	-0.05104895540909089	-0.07603364045454547	1.3714894272727272	7.715558713636363	13.273443704545452	-0.04306823900000001	-0.2738532433636363	0.07903119731818181	19			
3	949.4545454545455	-0.1342499992121212	-0.15873193666666663	-0.19950688545454548	10.281336287878787	6.611061284848484	6.799643239393939	0.3566278200775759	-0.3766355001818182	0.039445586484848486	3			
11	1023.36	0.09973366851999999	0.1691455232	0.018488471188	-3.182670648	-8.567745155999999	-9.130131800000001	0.26860205212000005	0.5325689878400001	-0.23896337819999997	11			
6	1162.6363636363637	0.1853195518181818	0.042147388863636365	-0.0033153882359090907	5.541641554545455	-10.449784381818183	-7.627888672727273	-0.05100767663636363	0.445572745909091	-0.16667665484090907	6			
7	1241.090909090909	0.23684186999999995	-0.05703235554545454	0.01017486705909091	18.326681	-9.203904909090907	-5.942560931818184	-0.3308521163636364	-0.39766734363636363	-0.4826585836363637	7			
8	1023.6164383561644	0.2460419687671233	-0.023232039534246574	-0.029249998630136997	11.890573208904113	-6.651851993150685	-1.1021788458465753	-0.5300785402054795	0.22373206971232867	-0.3754494066164383	8			
9	919.0769230769231	0.1377097	-0.037558718	-0.1507990530769231	18.288123	-1.1232861446153846	5.878606569230769	-0.20126674546153842	-0.10284798538461537	0.005028969230769214	9			
10	1114.421052631579	0.03564325836842105	-0.011568262415789473	0.12385944178947367	-11.637914522631577	3.4495329594736845	-5.329587646315789	-0.03725458421052632	0.4940613588421052	-0.588677569736842	10			
18	1080.2988505747126	-0.03870616181034483	-0.09576495558620692	0.2028895187356321	-7.413282686264369	7.148312011494252	-12.64135291954023	-0.06197776243850575	-0.21712913004597698	0.09918779009195397	18			
5	1021.7391304347826	0.14997663739130435	0.002301941108695653	0.05355547586956521	8.960256108695651	-4.859922604347825	-14.226869908695656	-0.11832240491304348	0.7653213039130434	0.17287962956521746	5			
4	1296.0714285714287	-0.01886956387142857	-0.18140501714285717	-0.17177952964285717	11.086067142857141	13.015672875000002	2.592377292857143	0.5904951917857143	-0.6240263792857144	-0.17727610035714286	4			
16	1088.6851851851852	0.06241462887037037	-0.09905531168518518	0.040620550444444445	-2.5152381353907405	13.464799525925926	-0.561478455185185	-0.23671963823148148	0.2353066342592592	0.11404381414814811	16			
32	975.2	-0.07153073893333334	0.015898817526666668	-0.0720136858	0.5685698546666664	4.699549386666666	7.70115272	0.03196160400000001	0.0311158172666667	0.05236446900000004	32			
31	1041.5625	-0.07293913375000001	0.033407754062499996	-0.13285980493750002	0.30647724875000004	-2.499685481875	15.294003625	0.14840518118749998	-0.24487011818749996	0.20131751	31			
20	1105.5833333333333	0.016892096904166664	-0.13615602916666666	0.09873576595833333	-3.575652654166666	13.066605974999996	-14.4711053	-0.1316694133333333	-0.57743762375	0.3683270941249999	20			
25	1142.357142857143	-0.05187294942857144	-0.05261287421428572	0.05873008592857143	-9.71857574285714	12.996253100000002	3.741505978571428	-0.11285038785714284	-0.5747575549999999	0.08216242220000002	25			
23	1008.6333333333333	-0.11806731006666668	0.15618196499999998	-0.0018669635366666667	-6.776777456666667	-9.605106653333332	3.0026688066666662	0.3566989236666666	-0.12478565613333335	0.1602761808666667	23			
17	989.952380952381	0.0641914051904762	-0.005962738524285714	-0.09382719361904761	6.533069342857144	-3.3896503866666667	12.667240300000003	-0.03380340333333333	-0.09560105809523807	-0.07898716761904763	17			
21	857.2592592592592	-0.10878698937037035	-0.006782551907407407	0.013929091274074077	-7.462523374074077	5.221865118518519	9.187768033333334	0.10594663851851853	0.051118129111111105	-0.008096452592592602	21			
